,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,SEX,Display Value,Numeric,Low,High,Comments
66,SA_0000001807,PUBLISHED,2016,AFR,MDG,MLE,206.8,,,,
67,SA_0000001807,PUBLISHED,2016,AFR,KEN,FMLE,170,,,,
68,SA_0000001807,PUBLISHED,2016,AFR,LBR,FMLE,113.6,,,,
69,SA_0000001807,PUBLISHED,2016,AFR,MUS,FMLE,99.2,,,,
70,SA_0000001807,PUBLISHED,2016,AFR,NAM,FMLE,78.9,,,,
71,SA_0000001807,PUBLISHED,2016,AFR,NGA,FMLE,135.8,,,,
72,SA_0000001807,PUBLISHED,2016,AFR,CPV,MLE,115.8,,,,
73,SA_0000001807,PUBLISHED,2016,AFR,GAB,MLE,88.6,,,,
74,SA_0000001807,PUBLISHED,2016,AFR,LBR,MLE,129.4,,,,
75,SA_0000001807,PUBLISHED,2016,AFR,NAM,MLE,135.8,,,,
76,SA_0000001807,PUBLISHED,2016,AFR,TGO,MLE,129.3,,,,
77,SA_0000001807,PUBLISHED,2016,AFR,BDI,FMLE,195.9,,,,
78,SA_0000001807,PUBLISHED,2016,AFR,ETH,FMLE,150.7,,,,
79,SA_0000001807,PUBLISHED,2016,AFR,LSO,FMLE,99.2,,,,
80,SA_0000001807,PUBLISHED,2016,AFR,MOZ,FMLE,176.6,,,,
81,SA_0000001807,PUBLISHED,2016,AFR,SWZ,FMLE,119,,,,
82,SA_0000001807,PUBLISHED,2016,AFR,AGO,FMLE,90.9,,,,
83,SA_0000001807,PUBLISHED,2016,AFR,BWA,FMLE,87.7,,,,
84,SA_0000001807,PUBLISHED,2016,AFR,GMB,FMLE,89,,,,
85,SA_0000001807,PUBLISHED,2016,AFR,GIN,FMLE,106.6,,,,
86,SA_0000001807,PUBLISHED,2016,AFR,STP,FMLE,141.3,,,,
87,SA_0000001807,PUBLISHED,2016,AFR,SYC,FMLE,125.2,,,,
88,SA_0000001807,PUBLISHED,2016,AFR,COM,MLE,153.3,,,,
89,SA_0000001807,PUBLISHED,2016,AFR,CIV,MLE,146.7,,,,
90,SA_0000001807,PUBLISHED,2016,AFR,MLI,MLE,101.2,,,,
91,SA_0000001807,PUBLISHED,2016,AFR,MUS,MLE,110.8,,,,
92,SA_0000001807,PUBLISHED,2016,AFR,TZA,MLE,155.8,,,,
93,SA_0000001807,PUBLISHED,2016,AFR,ZWE,MLE,182.7,,,,
94,SA_0000001807,PUBLISHED,2016,AMR,GUY,MLE,127.1,,,,
95,SA_0000001807,PUBLISHED,2016,AMR,VCT,MLE,256.5,,,,
96,SA_0000001807,PUBLISHED,2016,AMR,CUB,MLE,208.3,,,,
97,SA_0000001807,PUBLISHED,2016,AMR,CRI,FMLE,121.3,,,,
98,SA_0000001807,PUBLISHED,2016,AMR,GTM,FMLE,104.9,,,,
99,SA_0000001807,PUBLISHED,2016,AMR,PAN,FMLE,105.4,,,,
100,SA_0000001807,PUBLISHED,2016,AMR,BLZ,MLE,227.2,,,,
101,SA_0000001807,PUBLISHED,2016,AMR,DOM,MLE,170.9,,,,
102,SA_0000001807,PUBLISHED,2016,AMR,SLV,MLE,139.9,,,,
103,SA_0000001807,PUBLISHED,2016,AMR,GTM,MLE,104.6,,,,
104,SA_0000001807,PUBLISHED,2016,AMR,SUR,MLE,205.1,,,,
105,SA_0000001807,PUBLISHED,2016,AMR,USA,MLE,178.3,,,,
106,SA_0000001807,PUBLISHED,2016,AMR,ATG,MLE,242.9,,,,
107,SA_0000001807,PUBLISHED,2016,AMR,BLZ,FMLE,145.1,,,,
108,SA_0000001807,PUBLISHED,2016,AMR,BRA,FMLE,121.2,,,,
109,SA_0000001807,PUBLISHED,2016,AMR,JAM,FMLE,123.3,,,,
110,SA_0000001807,PUBLISHED,2016,AMR,NIC,FMLE,109.5,,,,
111,SA_0000001807,PUBLISHED,2016,AMR,NIC,MLE,133.1,,,,
112,SA_0000001807,PUBLISHED,2016,AMR,PAN,MLE,134.2,,,,
113,SA_0000001807,PUBLISHED,2016,AMR,DMA,FMLE,No data,,,,
114,SA_0000001807,PUBLISHED,2016,AMR,SLV,FMLE,144.5,,,,
115,SA_0000001807,PUBLISHED,2016,AMR,VCT,FMLE,160.7,,,,
116,SA_0000001807,PUBLISHED,2016,AMR,SUR,FMLE,145.6,,,,
117,SA_0000001807,PUBLISHED,2016,AMR,BOL,MLE,107.3,,,,
118,SA_0000001807,PUBLISHED,2016,AMR,BRA,MLE,178.1,,,,
119,SA_0000001807,PUBLISHED,2016,AMR,HTI,MLE,150.2,,,,
120,SA_0000001807,PUBLISHED,2016,AMR,JAM,MLE,193.5,,,,
121,SA_0000001807,PUBLISHED,2016,AMR,PER,MLE,141.5,,,,
122,SA_0000001807,PUBLISHED,2016,AMR,LCA,MLE,188.2,,,,
123,SA_0000001807,PUBLISHED,2016,AMR,ATG,FMLE,153.5,,,,
124,SA_0000001807,PUBLISHED,2016,AMR,BHS,FMLE,136.7,,,,
