,GHO,DATASOURCE,PUBLISHSTATE,YEAR,REGION,COUNTRY,RESIDENCEAREATYPE,Display Value,Numeric,Low,High,Comments
138,FINPROTECTION_CATA_TOT_10_POP,FPGMB2015,PUBLISHED,2015,AFR,GMB,RUR,0.24,0.24,,,
139,FINPROTECTION_CATA_TOT_10_POP,FPGRC2010,PUBLISHED,2010,EUR,GRC,TOTL,14.64,14.64,,,
140,FINPROTECTION_CATA_TOT_10_POP,FPGUY1993,PUBLISHED,1993,AMR,GUY,URB,2.98,2.98,,,
141,FINPROTECTION_CATA_TOT_10_POP,FPHRV1998,PUBLISHED,1998,EUR,HRV,TOTL,4.77,4.77,,,
142,FINPROTECTION_CATA_TOT_10_POP,FPHRV2009,PUBLISHED,2009,EUR,HRV,URB,3.11,3.11,,,
143,FINPROTECTION_CATA_TOT_10_POP,FPHRV2010,PUBLISHED,2010,EUR,HRV,RUR,2.26,2.26,,,
144,FINPROTECTION_CATA_TOT_10_POP,FPHTI2012,PUBLISHED,2012,AMR,HTI,TOTL,9.43,9.43,,,
145,FINPROTECTION_CATA_TOT_10_POP,FPHTI2012,PUBLISHED,2012,AMR,HTI,URB,9.17,9.17,,,
146,FINPROTECTION_CATA_TOT_10_POP,FPHTI2013,PUBLISHED,2013,AMR,HTI,RUR,11.92,11.92,,,
147,FINPROTECTION_CATA_TOT_10_POP,FPHUN1998,PUBLISHED,1998,EUR,HUN,URB,6.4,6.4,,,
148,FINPROTECTION_CATA_TOT_10_POP,FPHUN1999,PUBLISHED,1999,EUR,HUN,RUR,6.44,6.44,,,
149,FINPROTECTION_CATA_TOT_10_POP,FPHUN2000,PUBLISHED,2000,EUR,HUN,TOTL,8.26,8.26,,,
150,FINPROTECTION_CATA_TOT_10_POP,FPHUN2000,PUBLISHED,2000,EUR,HUN,URB,8.81,8.81,,,
151,FINPROTECTION_CATA_TOT_10_POP,FPHUN2001,PUBLISHED,2001,EUR,HUN,RUR,7.1,7.1,,,
152,FINPROTECTION_CATA_TOT_10_POP,FPHUN2002,PUBLISHED,2002,EUR,HUN,TOTL,9.7,9.7,,,
153,FINPROTECTION_CATA_TOT_10_POP,FPHUN2007,PUBLISHED,2007,EUR,HUN,URB,11.48,11.48,,,
154,FINPROTECTION_CATA_TOT_10_POP,FPHUN2010,PUBLISHED,2010,EUR,HUN,RUR,7.3,7.3,,,
155,FINPROTECTION_CATA_TOT_10_POP,FPIDN2001,PUBLISHED,2001,SEAR,IDN,TOTL,2.56,2.56,,,
156,FINPROTECTION_CATA_TOT_10_POP,FPIDN2001,PUBLISHED,2001,SEAR,IDN,URB,3.44,3.44,,,
157,FINPROTECTION_CATA_TOT_10_POP,FPIDN2002,PUBLISHED,2002,SEAR,IDN,RUR,1.89,1.89,,,
158,FINPROTECTION_CATA_TOT_10_POP,FPIDN2003,PUBLISHED,2003,SEAR,IDN,TOTL,1.95,1.95,,,
159,FINPROTECTION_CATA_TOT_10_POP,FPIDN2004,PUBLISHED,2004,SEAR,IDN,RUR,1.73,1.73,,,
160,FINPROTECTION_CATA_TOT_10_POP,FPIDN2005,PUBLISHED,2005,SEAR,IDN,TOTL,2.14,2.14,,,
161,FINPROTECTION_CATA_TOT_10_POP,FPIDN2005,PUBLISHED,2005,SEAR,IDN,URB,2.53,2.53,,,
162,FINPROTECTION_CATA_TOT_10_POP,FPIDN2006,PUBLISHED,2006,SEAR,IDN,RUR,1.47,1.47,,,
163,FINPROTECTION_CATA_TOT_10_POP,FPIDN2007,PUBLISHED,2007,SEAR,IDN,TOTL,2.54,2.54,,,
164,FINPROTECTION_CATA_TOT_10_POP,FPIDN2013,PUBLISHED,2013,SEAR,IDN,URB,4.3,4.3,,,
165,FINPROTECTION_CATA_TOT_10_POP,FPIDN2014,PUBLISHED,2014,SEAR,IDN,RUR,3.74,3.74,,,
166,FINPROTECTION_CATA_TOT_10_POP,FPIDN2015,PUBLISHED,2015,SEAR,IDN,TOTL,3.61,3.61,,,
167,FINPROTECTION_CATA_TOT_10_POP,FPIDN2015,PUBLISHED,2015,SEAR,IDN,URB,4.09,4.09,,,
168,FINPROTECTION_CATA_TOT_10_POP,FPIDN2018,PUBLISHED,2018,SEAR,IDN,RUR,2.58,2.58,,,
169,FINPROTECTION_CATA_TOT_10_POP,FPIND2000,PUBLISHED,2000,SEAR,IND,TOTL,13.79,13.79,,,
170,FINPROTECTION_CATA_TOT_10_POP,FPIND2004,PUBLISHED,2004,SEAR,IND,RUR,15.85,15.85,,,
171,FINPROTECTION_CATA_TOT_10_POP,FPIND2006,PUBLISHED,2006,SEAR,IND,TOTL,16.84,16.84,,,
172,FINPROTECTION_CATA_TOT_10_POP,FPIND2009,PUBLISHED,2009,SEAR,IND,RUR,13.99,13.99,,,
173,FINPROTECTION_CATA_TOT_10_POP,FPIND2011,PUBLISHED,2011,SEAR,IND,TOTL,17.33,17.33,,,
174,FINPROTECTION_CATA_TOT_10_POP,FPIND2011,PUBLISHED,2011,SEAR,IND,URB,16.69,16.69,,,
175,FINPROTECTION_CATA_TOT_10_POP,FPIRL1999,PUBLISHED,1999,EUR,IRL,RUR,5.33,5.33,,,
176,FINPROTECTION_CATA_TOT_10_POP,FPIRL2009,PUBLISHED,2009,EUR,IRL,TOTL,5.59,5.59,,,
177,FINPROTECTION_CATA_TOT_10_POP,FPIRN2008,PUBLISHED,2008,EMR,IRN,TOTL,12.6,12.6,,,
178,FINPROTECTION_CATA_TOT_10_POP,FPIRN2013,PUBLISHED,2013,EMR,IRN,TOTL,15.81,15.81,,,
179,FINPROTECTION_CATA_TOT_10_POP,FPIRQ2012,PUBLISHED,2012,EMR,IRQ,TOTL,3.29,3.29,,,
180,FINPROTECTION_CATA_TOT_10_POP,FPIRQ2012,PUBLISHED,2012,EMR,IRQ,URB,3.28,3.28,,,
181,FINPROTECTION_CATA_TOT_10_POP,FPISR1997,PUBLISHED,1997,EUR,ISR,TOTL,5.86,5.86,,,
182,FINPROTECTION_CATA_TOT_10_POP,FPISR2005,PUBLISHED,2005,EUR,ISR,TOTL,8.51,8.51,,,
183,FINPROTECTION_CATA_TOT_10_POP,FPISR2010,PUBLISHED,2010,EUR,ISR,TOTL,6.35,6.35,,,
184,FINPROTECTION_CATA_TOT_10_POP,FPITA2010,PUBLISHED,2010,EUR,ITA,TOTL,9.29,9.29,,,
185,FINPROTECTION_CATA_TOT_10_POP,FPITA2010,PUBLISHED,2010,EUR,ITA,URB,8.8,8.8,,,
186,FINPROTECTION_CATA_TOT_10_POP,FPJAM1990,PUBLISHED,1990,AMR,JAM,RUR,6.83,6.83,,,
187,FINPROTECTION_CATA_TOT_10_POP,FPJAM1991,PUBLISHED,1991,AMR,JAM,TOTL,10.12,10.12,,,
188,FINPROTECTION_CATA_TOT_10_POP,FPJAM1996,PUBLISHED,1996,AMR,JAM,URB,6.37,6.37,,,
189,FINPROTECTION_CATA_TOT_10_POP,FPJAM1997,PUBLISHED,1997,AMR,JAM,RUR,6.86,6.86,,,
190,FINPROTECTION_CATA_TOT_10_POP,FPJAM2002,PUBLISHED,2002,AMR,JAM,TOTL,10.38,10.38,,,
191,FINPROTECTION_CATA_TOT_10_POP,FPJAM2002,PUBLISHED,2002,AMR,JAM,URB,9.94,9.94,,,
192,FINPROTECTION_CATA_TOT_10_POP,FPJAM2003,PUBLISHED,2003,AMR,JAM,RUR,10.5,10.5,,,
193,FINPROTECTION_CATA_TOT_10_POP,FPJAM2004,PUBLISHED,2004,AMR,JAM,TOTL,10.2,10.2,,,
194,FINPROTECTION_CATA_TOT_10_POP,FPJOR2008,PUBLISHED,2008,EMR,JOR,RUR,0.94,0.94,,,
195,FINPROTECTION_CATA_TOT_10_POP,FPJPN2011,PUBLISHED,2011,WPR,JPN,TOTL,3.81,3.81,,,
196,FINPROTECTION_CATA_TOT_10_POP,FPKAZ1996,PUBLISHED,1996,EUR,KAZ,TOTL,4.33,4.33,,,
197,FINPROTECTION_CATA_TOT_10_POP,FPKAZ2005,PUBLISHED,2005,EUR,KAZ,URB,2.52,2.52,,,
198,FINPROTECTION_CATA_TOT_10_POP,FPKAZ2006,PUBLISHED,2006,EUR,KAZ,RUR,4.88,4.88,,,
199,FINPROTECTION_CATA_TOT_10_POP,FPKAZ2007,PUBLISHED,2007,EUR,KAZ,TOTL,3.56,3.56,,,
200,FINPROTECTION_CATA_TOT_10_POP,FPKAZ2007,PUBLISHED,2007,EUR,KAZ,URB,5.18,5.18,,,
201,FINPROTECTION_CATA_TOT_10_POP,FPKAZ2008,PUBLISHED,2008,EUR,KAZ,RUR,1.77,1.77,,,
202,FINPROTECTION_CATA_TOT_10_POP,FPKAZ2009,PUBLISHED,2009,EUR,KAZ,TOTL,2.69,2.69,,,
203,FINPROTECTION_CATA_TOT_10_POP,FPKAZ2014,PUBLISHED,2014,EUR,KAZ,URB,1.11,1.11,,,
