,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,Display Value,Numeric,Low,High,Comments
5062,BP_06,PUBLISHED,1984,EUR,EST,YEARS18-PLUS,MLE,135.4 [131.3-139.6],135.4,131.3,139.6,
5063,BP_06,PUBLISHED,1991,WPR,FJI,YEARS18-PLUS,MLE,127.6 [122.1-133.1],127.6,122.1,133.1,
5064,BP_06,PUBLISHED,1993,WPR,FJI,YEARS18-PLUS,MLE,127.7 [122.4-133.1],127.7,122.4,133.1,
5065,BP_06,PUBLISHED,1991,EUR,ALB,YEARS18-PLUS,MLE,131.2 [125.5-136.7],131.2,125.5,136.7,
5066,BP_06,PUBLISHED,2006,EUR,ALB,YEARS18-PLUS,MLE,133.9 [129.6-138.0],133.9,129.6,138.0,
5067,BP_06,PUBLISHED,2015,EUR,ALB,YEARS18-PLUS,MLE,136.1 [129.7-142.4],136.1,129.7,142.4,
5068,BP_06,PUBLISHED,1980,AFR,DZA,YEARS18-PLUS,MLE,127.1 [119.6-134.4],127.1,119.6,134.4,
5069,BP_06,PUBLISHED,2014,EUR,AND,YEARS18-PLUS,MLE,126.6 [118.4-134.8],126.6,118.4,134.8,
5070,BP_06,PUBLISHED,1975,AFR,AGO,YEARS18-PLUS,MLE,128.4 [118.4-138.5],128.4,118.4,138.5,
5071,BP_06,PUBLISHED,1993,AFR,AGO,YEARS18-PLUS,MLE,130.0 [122.7-137.5],130.0,122.7,137.5,
5072,BP_06,PUBLISHED,2010,AMR,ARG,YEARS18-PLUS,MLE,128.2 [123.9-132.5],128.2,123.9,132.5,
5073,BP_06,PUBLISHED,1976,EUR,ARM,YEARS18-PLUS,MLE,131.9 [122.0-140.9],131.9,122.0,140.9,
5074,BP_06,PUBLISHED,1987,EUR,ARM,YEARS18-PLUS,MLE,131.6 [125.1-137.9],131.6,125.1,137.9,
5075,BP_06,PUBLISHED,2011,EUR,AUT,YEARS18-PLUS,MLE,128.5 [123.0-134.0],128.5,123.0,134.0,
