,GHO,DATASOURCE,PUBLISHSTATE,YEAR,REGION,COUNTRY,RESIDENCEAREATYPE,Display Value,Numeric,Low,High,Comments
0,FINPROTECTION_CATA_TOT_25_POP,FPAFG2007,PUBLISHED,2007,EMR,AFG,RUR,0.08,0.08,,,
1,FINPROTECTION_CATA_TOT_25_POP,FPAFG2013,PUBLISHED,2013,EMR,AFG,TOTL,2.01,2.01,,,
2,FINPROTECTION_CATA_TOT_25_POP,FPALB2008,PUBLISHED,2008,EUR,ALB,URB,5.21,5.21,,,
3,FINPROTECTION_CATA_TOT_25_POP,FPALB2012,PUBLISHED,2012,EUR,ALB,RUR,5.89,5.89,,,
4,FINPROTECTION_CATA_TOT_25_POP,FPARG2004,PUBLISHED,2004,AMR,ARG,RUR,2.97,2.97,,,
5,FINPROTECTION_CATA_TOT_25_POP,FPARM1999,PUBLISHED,1999,EUR,ARM,TOTL,6.88,6.88,,,
6,FINPROTECTION_CATA_TOT_25_POP,FPARM2003,PUBLISHED,2003,EUR,ARM,URB,5.34,5.34,,,
7,FINPROTECTION_CATA_TOT_25_POP,FPARM2004,PUBLISHED,2004,EUR,ARM,RUR,6.67,6.67,,,
8,FINPROTECTION_CATA_TOT_25_POP,FPARM2005,PUBLISHED,2005,EUR,ARM,TOTL,6.18,6.18,,,
9,FINPROTECTION_CATA_TOT_25_POP,FPARM2005,PUBLISHED,2005,EUR,ARM,URB,6.38,6.38,,,
10,FINPROTECTION_CATA_TOT_25_POP,FPARM2006,PUBLISHED,2006,EUR,ARM,RUR,5.15,5.15,,,
11,FINPROTECTION_CATA_TOT_25_POP,FPARM2007,PUBLISHED,2007,EUR,ARM,TOTL,1.75,1.75,,,
12,FINPROTECTION_CATA_TOT_25_POP,FPARM2007,PUBLISHED,2007,EUR,ARM,URB,1.72,1.72,,,
13,FINPROTECTION_CATA_TOT_25_POP,FPARM2008,PUBLISHED,2008,EUR,ARM,RUR,3.05,3.05,,,
14,FINPROTECTION_CATA_TOT_25_POP,FPARM2009,PUBLISHED,2009,EUR,ARM,TOTL,2.39,2.39,,,
15,FINPROTECTION_CATA_TOT_25_POP,FPARM2012,PUBLISHED,2012,EUR,ARM,URB,3.1,3.1,,,
16,FINPROTECTION_CATA_TOT_25_POP,FPARM2013,PUBLISHED,2013,EUR,ARM,RUR,3.84,3.84,,,
17,FINPROTECTION_CATA_TOT_25_POP,FPAZE2002,PUBLISHED,2002,EUR,AZE,TOTL,1.19,1.19,,,
18,FINPROTECTION_CATA_TOT_25_POP,FPBDI1998,PUBLISHED,1998,AFR,BDI,TOTL,0.07,0.07,,,
19,FINPROTECTION_CATA_TOT_25_POP,FPBDI1998,PUBLISHED,1998,AFR,BDI,URB,0.13,0.13,,,
20,FINPROTECTION_CATA_TOT_25_POP,FPBDI2013,PUBLISHED,2013,AFR,BDI,RUR,0.39,0.39,,,
21,FINPROTECTION_CATA_TOT_25_POP,FPBEL1997,PUBLISHED,1997,EUR,BEL,TOTL,0.2,0.2,,,
22,FINPROTECTION_CATA_TOT_25_POP,FPBFA2003,PUBLISHED,2003,AFR,BFA,URB,4.32,4.32,,,
23,FINPROTECTION_CATA_TOT_25_POP,FPBFA2009,PUBLISHED,2009,AFR,BFA,RUR,0.59,0.59,,,
24,FINPROTECTION_CATA_TOT_25_POP,FPBFA2014,PUBLISHED,2014,AFR,BFA,TOTL,0.42,0.42,,,
25,FINPROTECTION_CATA_TOT_25_POP,FPBFA2014,PUBLISHED,2014,AFR,BFA,URB,0.23,0.23,,,
26,FINPROTECTION_CATA_TOT_25_POP,FPBGD2000,PUBLISHED,2000,SEAR,BGD,RUR,3.58,3.58,,,
27,FINPROTECTION_CATA_TOT_25_POP,FPBGD2005,PUBLISHED,2005,SEAR,BGD,TOTL,3.59,3.59,,,
